event,kind,iter,elapsed_ms,competitor,competitor_ms
E1,cold,1,146.0,mutool,80.5
E1,cold,1,146.0,pdftoppm,NA
E1,warm,1,144.0,mutool,78.5
E1,warm,1,144.0,pdftoppm,NA
E1,warm,1,145.0,mutool,79.7
E1,warm,1,145.0,pdftoppm,NA
E1,warm,1,147.6,mutool,79.5
E1,warm,1,147.6,pdftoppm,NA
E1,warm,1,144.9,mutool,79.3
E1,warm,1,144.9,pdftoppm,NA
E2,cold,1,1943.3,,
E2,warm,1,1990.5,,
E2,warm,1,1933.1,,
E2,warm,1,1944.0,,
E2,warm,1,1949.6,,
E3,cold,1,373.7,,
E3,warm,1,402.0,,
E3,warm,1,373.8,,
E3,warm,1,362.1,,
E3,warm,1,365.3,,
E4,cold,1,14265.1,,
E4,warm,1,14377.9,,
E4,warm,1,14483.2,,
E4,warm,1,14459.9,,
E4,warm,1,14460.7,,
E5,cold,1,249.8,mutool,73.3
E5,cold,1,249.8,pdftoppm,930.3
E5,warm,1,254.4,mutool,73.0
E5,warm,1,254.4,pdftoppm,941.5
E5,warm,1,247.9,mutool,73.0
E5,warm,1,247.9,pdftoppm,939.6
E5,warm,1,258.7,mutool,73.5
E5,warm,1,258.7,pdftoppm,918.8
E5,warm,1,247.7,mutool,74.8
E5,warm,1,247.7,pdftoppm,935.0
