event,kind,iter,elapsed_ms,competitor,competitor_ms
E1,cold,1,1449.9,mutool,78.7
E1,cold,1,1449.9,pdftoppm,NA
E1,warm,1,1141.0,mutool,80.5
E1,warm,1,1141.0,pdftoppm,NA
E1,warm,1,1126.3,mutool,80.2
E1,warm,1,1126.3,pdftoppm,NA
E1,warm,1,1136.7,mutool,78.1
E1,warm,1,1136.7,pdftoppm,NA
E1,warm,1,1132.7,mutool,78.8
E1,warm,1,1132.7,pdftoppm,NA
E2,cold,1,1741.9,,
E2,warm,1,1738.9,,
E2,warm,1,1752.3,,
E2,warm,1,1772.8,,
E2,warm,1,1776.1,,
E3,cold,1,24289.8,,
E3,warm,1,24005.2,,
E3,warm,1,24007.3,,
E3,warm,1,24175.1,,
E3,warm,1,24370.6,,
E4,cold,1,13719.8,,
E4,warm,1,13793.5,,
E4,warm,1,13627.1,,
E4,warm,1,13642.7,,
E4,warm,1,13619.5,,
E5,cold,1,329.7,mutool,72.1
E5,cold,1,329.7,pdftoppm,939.7
E5,warm,1,345.2,mutool,73.0
E5,warm,1,345.2,pdftoppm,926.0
E5,warm,1,322.8,mutool,71.8
E5,warm,1,322.8,pdftoppm,922.4
E5,warm,1,315.2,mutool,72.3
E5,warm,1,315.2,pdftoppm,931.0
E5,warm,1,324.4,mutool,72.8
E5,warm,1,324.4,pdftoppm,930.5
