event,kind,iter,elapsed_ms,competitor,competitor_ms
E1,cold,1,1108.6,mutool,79.2
E1,cold,1,1108.6,pdftoppm,NA
E1,warm,1,1120.5,mutool,78.3
E1,warm,1,1120.5,pdftoppm,NA
E1,warm,1,1131.3,mutool,81.0
E1,warm,1,1131.3,pdftoppm,NA
E1,warm,1,1110.2,mutool,80.1
E1,warm,1,1110.2,pdftoppm,NA
E1,warm,1,1114.7,mutool,79.6
E1,warm,1,1114.7,pdftoppm,NA
E2,cold,1,1736.9,,
E2,warm,1,1733.7,,
E2,warm,1,1733.8,,
E2,warm,1,1736.0,,
E2,warm,1,1753.1,,
E3,cold,1,14611.2,,
E3,warm,1,14441.9,,
E3,warm,1,14517.5,,
E3,warm,1,14429.9,,
E3,warm,1,14392.3,,
E4,cold,1,14237.0,,
E4,warm,1,13997.8,,
E4,warm,1,14067.4,,
E4,warm,1,13714.2,,
E4,warm,1,13938.3,,
E5,cold,1,309.8,mutool,73.9
E5,cold,1,309.8,pdftoppm,940.7
E5,warm,1,322.5,mutool,74.5
E5,warm,1,322.5,pdftoppm,943.7
E5,warm,1,338.8,mutool,73.6
E5,warm,1,338.8,pdftoppm,941.1
E5,warm,1,319.1,mutool,73.9
E5,warm,1,319.1,pdftoppm,938.1
E5,warm,1,307.2,mutool,73.9
E5,warm,1,307.2,pdftoppm,943.4
