event,kind,iter,elapsed_ms,competitor,competitor_ms
E1,cold,1,958.7,mutool,78.8
E1,cold,1,958.7,pdftoppm,NA
E1,warm,1,116.8,mutool,83.5
E1,warm,1,116.8,pdftoppm,NA
E1,warm,1,115.8,mutool,78.9
E1,warm,1,115.8,pdftoppm,NA
E1,warm,1,116.6,mutool,78.5
E1,warm,1,116.6,pdftoppm,NA
E1,warm,1,113.3,mutool,77.6
E1,warm,1,113.3,pdftoppm,NA
E2,cold,1,1947.9,,
E2,warm,1,1979.0,,
E2,warm,1,1903.0,,
E2,warm,1,1972.5,,
E2,warm,1,1980.0,,
E3,cold,1,343.0,,
E3,warm,1,337.1,,
E3,warm,1,353.7,,
E3,warm,1,346.1,,
E3,warm,1,338.8,,
E4,cold,1,14129.3,,
E4,warm,1,14331.1,,
E4,warm,1,14113.1,,
E4,warm,1,14473.3,,
E4,warm,1,14112.8,,
E5,cold,1,260.0,mutool,72.1
E5,cold,1,260.0,pdftoppm,920.2
E5,warm,1,182.6,mutool,73.6
E5,warm,1,182.6,pdftoppm,932.8
E5,warm,1,192.4,mutool,72.0
E5,warm,1,192.4,pdftoppm,917.3
E5,warm,1,185.2,mutool,68.6
E5,warm,1,185.2,pdftoppm,940.2
E5,warm,1,190.9,mutool,69.9
E5,warm,1,190.9,pdftoppm,918.7
