event,kind,iter,elapsed_ms,competitor,competitor_ms
E1,cold,1,35.7,mutool,84.2
E1,cold,1,35.7,pdftoppm,NA
E1,warm,1,33.2,mutool,82.7
E1,warm,1,33.2,pdftoppm,NA
E1,warm,1,33.7,mutool,79.4
E1,warm,1,33.7,pdftoppm,NA
E1,warm,1,33.6,mutool,79.0
E1,warm,1,33.6,pdftoppm,NA
E1,warm,1,34.1,mutool,79.7
E1,warm,1,34.1,pdftoppm,NA
E2,cold,1,2541.3,,
E2,warm,1,2547.4,,
E2,warm,1,2514.2,,
E2,warm,1,2532.4,,
E2,warm,1,2527.1,,
E3,cold,1,359.9,,
E3,warm,1,347.5,,
E3,warm,1,347.0,,
E3,warm,1,346.3,,
E3,warm,1,347.3,,
E4,cold,1,17405.9,,
E4,warm,1,17058.3,,
E4,warm,1,17078.5,,
E4,warm,1,17070.2,,
E4,warm,1,17133.5,,
E1_p8000,cold,1,34.0,mutool,82.9
E1_p8000,cold,1,34.0,pdftoppm,727.4
E1_p8000,warm,1,33.5,mutool,82.4
E1_p8000,warm,1,33.5,pdftoppm,772.3
E1_p8000,warm,1,33.6,mutool,81.8
E1_p8000,warm,1,33.6,pdftoppm,772.1
E1_p8000,warm,1,33.5,mutool,79.9
E1_p8000,warm,1,33.5,pdftoppm,770.7
E1_p8000,warm,1,34.1,mutool,79.9
E1_p8000,warm,1,34.1,pdftoppm,754.2
E1_p8000_with_disk_write,cold,1,36.8,mutool,95.7
E1_p8000_with_disk_write,cold,1,36.8,pdftoppm,779.9
E1_p8000_with_disk_write,warm,1,35.6,mutool,93.7
E1_p8000_with_disk_write,warm,1,35.6,pdftoppm,771.9
E1_p8000_with_disk_write,warm,1,35.5,mutool,95.5
E1_p8000_with_disk_write,warm,1,35.5,pdftoppm,758.7
E1_p8000_with_disk_write,warm,1,35.5,mutool,92.8
E1_p8000_with_disk_write,warm,1,35.5,pdftoppm,778.9
E1_p8000_with_disk_write,warm,1,35.8,mutool,93.8
E1_p8000_with_disk_write,warm,1,35.8,pdftoppm,767.6
E2_p8000,cold,1,2370,mutool,2370
E2_p8000,warm,1,2460,mutool,2460
E2_p8000,warm,1,2470,mutool,2470
E2_p8000,warm,1,2460,mutool,2460
E2_p8000,warm,1,2460,mutool,2460
E2_p8000,cold,1,64300,pdftoppm,64300
E2_p8000,warm,1,64350,pdftoppm,64350
E2_p8000,warm,1,64250,pdftoppm,64250
E2_p8000,warm,1,64010,pdftoppm,64010
E2_p8000,warm,1,64060,pdftoppm,64060
E3_competitor,cold,1,1400,mutool,1400
E3_competitor,warm,1,1300,mutool,1300
E3_competitor,warm,1,1300,mutool,1300
E3_competitor,warm,1,1300,mutool,1300
E3_competitor,warm,1,1300,mutool,1300
E4_competitor,cold,1,72000,mutool,72000
E4_competitor,warm,1,53600,mutool,53600
E4_competitor,warm,1,40400,mutool,40400
E4_competitor,warm,1,46500,mutool,46500
